,id,text,sentiment_text
0,592390510783950848,I want to travel the world,I want to travel the world
1,499995551736561664,"A4 I connect more deeply with myself when traveling, and am therefor more open to meaningful connections with others.  #MatUTalks @MatadorU",A I connect more deeply with myself when traveling and am therefor more open to meaningful connections with others.
2,591973111156895744,I bought something yesterday and it told me it just shipped and will get here on Friday June 5th.... what is it traveling by snail mail??,I bought something yesterday and it told me it just shipped and will get here on Friday June th. what is it traveling by snail mail
3,499346358902349825,#niagarafalls this is Wonderfull !!! #loveusa #lovecanada #canadavsusa #amazing #nature @ Niagara Falls http://t.co/u32b4pNNuC,this Wonderfull Niagara Falls
4,592709581391921153,on vacation for the first time in over a year! starting with some spring cleaning & hoping the sun peeks through the clouds for a walk! [?],on vacation for the first time in over a year starting with some spring cleaning hoping the sun peeks through the clouds for a walk
5,499531422554537985,My Blog - The Unwritten Rules of Surfing http://t.co/kOcGw4JZvz #travel #ttot,My Blog The Unwritten Rules of Surfing
6,499368782771793920,What am I going to do on my first day of vacation tomorrow!!!?,What am I going to do on my first day of vacation tomorrow
7,592474703912112128,Traveling this Summer?  BRRR-FFALO has the most fun gifts to get out-of-town relatives under $10! #buffalo #wny http://t.co/VbO4tOWl6q,Traveling this Summer BRRFFALO has the most fun gifts to get outoftown relatives under
8,499995199129796608,"A3 Travel has made me realize that no matter what our definition of it is, we are all just trying to get #home. #MatUTalks @MatadorU",A Travel has made me realize that no matter what our definition of it is we are all just trying to get
9,592419997017710592,"My week consists of waking up and going to work, coming home to go to sleep and repeat. it is time for a vacation",My week consists of waking up and going to work coming home to go to sleep and repeat. it is time for a vacation
