,id,text,sentiment_text
0,527558225634553856,"@HLNNowTV @DarrenKavinoky @JoeyJacksonEsq once you are away, you do not travel over 1500 to ho back to your so called abuser#jodiarias",once you are away you do not travel over to ho back to your so called abuser
1,529354133326012420,doing something normal people do when traveling or on #vacation. 1st time able 2 see @NiagaraFalls it is empowering!! http://t.co/gbCZo1naYE,doing something normal people do when traveling or on st time able see it is empowering 
2,528105676531585024,Soo tired- wayy to early to be traveling. Justt givee meee @brooketokarz 's bed . Now.,Soo tired wayy to early to be traveling. Justt givee mee bed . Now.
3,529096157969276929,I need a vacation,I need a vacation
4,528947885145350144,I should probably pack/pick out outfits for the first leg of my @OTownOfficial adventure. That means I have to do laundry&I am not interested,I should probably packpick outfits for the first leg of my adventure. That means I have to do laundryI am not interested
5,528301350522978304,#Travel & #Explore a place where happiness meets the world @clubmedofficial We can get you there http://t.co/rRXzbnlEu3, a place where happiness meets the world We can get you there 
6,529458856058171392,Chill it is not Christmas you skipped a holiday,Chill it is not Christmas you skipped a holiday
7,529433940801884160,can I just get to the part of my life where I travel the world already? [?],can I just get to the part of my life where I travel the world already 
8,527527817303838721,Never. Work. In. A. Hotel.,Never. Work. In. A. Hotel.
9,529664325225816064,I have vacation all week long who wants to get breakfast one of these mornings?,I have vacation all week long who wants to get breakfast one of these mornings
