,id,text,sentiment_text
0,607647335208861696,Fun times #inthemist #canadianadventures #wanderer #wanderlust #outandabout #travel #traveltales @... https://t.co/4aDvtD5Kj3,Fun times . 
1,466380678704402432,Pacers almost dead so they let PG get away with a travel .. Makes sense,Pacers almost dead so they let PG get away with a travel . Makes sense
2,608057606909902848,basically our vacation in one picture http://t.co/PDZQsNc3XE,basically our vacation in one picture 
3,468821742497316864,In serious need of a vacation,In serious need of a vacation
4,467134531846569984,Thankyou to me wonderful bestfriend for traveling to kenmore for me today @kaylixo [?],Thankyou to me wonderful bestfriend for traveling to kenmore for me today 
5,466954898505228288,"""@BoozeyAndBitchy: nature and art and drugs [?] http://t.co/SQNAZcwUtM"" id love to just trip face here my whole life", nature and art and drugs id love to just trip face here my whole life
6,466388351525072898,I want to travel and see all these beautiful places I just look at on twitter.,I want to travel and see all these beautiful places I just look at on twitter.
7,466684755681886208,Mom coming in clutch with this hotel http://t.co/r1Hu7d72Zy,Mom coming in clutch with this hotel 
8,608359845100716034,Niagara Falls Fire #niagarafalls #canada #ontario #niagara #holidays #wanderlust #travel #roadtrip... https://t.co/pH4WbzmqLu,Niagara Falls Fire . 
9,467713197911588865,3 40 ounces was an adventure only that men can attend god DAMN, ounces was an adventure only that men can attend god DAMN
