,id,text,sentiment_text
0,524766646896840706,#Classic #70s #Telephone #Hotel #OldFashioned #DaysInn #NiagaraFalls #Buffalo #NY #State @ Days Inn At... http://t.co/GYM565kcGL,Days Inn At.
1,524941411402399744,Pay day baby! I swear every other Wednesday feels like a holiday to me.,Pay day baby I swear every other Wednesday feels like a holiday to me.
2,609424938085294082,Just putting this selfie stick to good use #blogger #travel #NiagraFalls #TheFalls #inthemist @... https://t.co/lDec4RJFlb,Just putting this selfie stick to good use .
3,524753585125724160,"Physically, mentally, and emotionally drained and I literally just got back from vacation #neverfails",Physically mentally and emotionally drained and I literally just got back from vacation
4,610644746978074624,Checking out the falls at Niagara Falls #Canada #horseshoe #waterfalls #nature #amazing @ Niagara Falls https://t.co/aiRqpjjZtJ,Checking out the falls at Niagara Falls
5,609004249712754689,Niagara Falls #niagarafalls #ontario #canada #niagarapark #travel #summer #roadtrip http://t.co/SOUYFtX9At,Niagara Falls
6,610565934328225792,Impressionante #niagara #niagarafalls #falls #canada #trip #travel #travelblog #VidaDeBlogueira @... https://t.co/rqoQOzXeLs,Impressionante .
7,610087704936718336,This divine dessert I saw in #shanghai #travel #bakery @ shanghai https://t.co/bnVzc3EENW,This divine dessert I saw in shanghai
8,524915186193686528,When was the last time your hotel had a bowling alley? #never http://t.co/RW9k9FqQit,When was the last time your hotel had a bowling alley
9,524945653957681154,Running in the beautiful area of Niagara-on-the-lake #nature #autumn #7km #run - http://t.co/GPQw5iQpH0,Running in the beautiful area of Niagaraonthelake
