,id,text,sentiment_text
0,421668183867920384,cannot wait to go to the hotel,cannot wait to go the hotel
1,422176062022242305,I am going to really have to convince myself to travel to Italy this summer to play softball!,I am going to really have to convince myself to travel to Italy this summer to play softball
2,422140811770621954,Three guys take an adventure http://t.co/5lF2cKDGHB,Three guys take an adventure
3,420767643705294848,Which I find to be absurd considering she used to force me to get it done every time we went on vacation. Proof. http://t.co/xpf5VKyy4r,Which I find to be absurd considering she used to force me to get it done every time went on vacation. Proof.
4,420961309048721408,This is definitely the year of travel for me. I am just tooo tired of this place,This definitely the year of travel for me. I am just too tired of this place
5,421750318846971904,who is going to be at holiday tonigh,who is going to be at holiday tonigh
6,422175916437942272,I wish I was not such a baby & would just be okay with traveling on my own!,I wish I was not such a baby would just be okay with traveling on my own
7,421892593312866304,"Garth, Eric church, and chase rice are the only must concerts for me, and that is travel over two hrs without thinking next year",Garth Eric church and chase rice are the only must concerts for me and that is travel over two hrs without thinking next year
8,423152403509432320,Next vacation I need to go to Aruba or Hawaii. I got to start saving up them dollar bills,Next vacation I need to go to Aruba or Hawaii. I got to start saving up them dollar bills
9,422514311261483008,Someone needs to just go on a tropical vacation with me [?],Someone needs to just go on a tropical vacation with me
