,id,text,sentiment_text
0,640659493823582208,Enjoying some lovely [?][?] with @5p33d0 this fab #Sunday #longweekend #winecountry #travel #victoryedge... https://t.co/Y3Ol9D31aC,Enjoying some lovely with this fab .
1,640248933705469952,My mini vacation pics. #familytime #fam #lafamilia #timeout #vacation #greatwolflodge #chill... https://t.co/ajy6WyWAF4,My mini vacation pics. .
2,640016466708971520,When the hotel you are staying at has an arcade and you end up winning 1000 tickets  http://t.co/QNj4d1Pcyg,When the hotel you are staying at has an arcade and you end up winning tickets
3,640685984586309632,"One of nature's most beautiful wonders. #NiagaraFalls #Ontario #Canada @ Niagara Falls, Ontario,... https://t.co/D1F9e8wnrc",One of natures most beautiful wonders. Niagara Falls Ontario.
4,640828742596710400,#NewYork you are amazing as always! But now it is time for some #Paranormal Investigating in #SouthCarolina! #adventure http://t.co/E8OTKU3XLP,you are amazing as always But now it is time for some Investigating in
5,638986956014288896,Such a wet experience :)#NiagaraFalls #canada #view #travel #me #boy #love #best #friends #girls... https://t.co/FAciwEIQ2S,Such a wet experience .
6,639505082724315137,Power!!!!#niagarafalls #skilife #skitrip2015 #travel #trip #canada @ Niagara Falls https://t.co/6tzNlSeu0c,Power Niagara Falls
7,641317004109053952,"When on vacation, do as vacationers do -- sleep in and eat big breakfasts  / 9.8.2015 | #nomnom... https://t.co/POVlVgtv7G",When on vacation do as vacationers do sleep in and eat big breakfasts . .
8,641053405713203201,"travel the world it will make changes in your life @ Niagara Falls, New York https://t.co/AdYg7d965F",travel the world it will make changes in your life Niagara Falls New York
9,639500848339546112,Great Peruvian photos by Jillian Barille Photography #ArtShow #DoWorkGirl #Travel #YeahBuddy... https://t.co/dQEYWP5j6g,Great Peruvian photos by Jillian Barille Photography .
